section,req_number,requirement,Artifact Type,Section Name,parentBinding
,2.3,"The system shall provide a search interface that allows users to find requirements by keyword, attribute value, or section number.",Functional Requirement,"The system shall provide a search interface that allows users to find requirements by keyword, attribute value, or section number.",2
,2.3.1,The keyword search shall search within the Title and Description fields and shall support partial word matching.,Functional Requirement,The keyword search shall search within the Title and Description fields and shall support partial word matching.,2.3
,2.3.2,"The attribute search shall support filtering by Priority, Status, Verification Method, and Assigned Owner.",Functional Requirement,"The attribute search shall support filtering by Priority, Status, Verification Method, and Assigned Owner.",2.3
,3,The system shall provide a traceability management module enabling bidirectional links between requirements and other engineering artefacts.,Functional Requirement,The system shall provide a traceability management module enabling bidirectional links between requirements and other engineering artefacts.,
,3.1,The system shall support the creation of typed traceability links between requirements artefacts and test cases.,Functional Requirement,The system shall support the creation of typed traceability links between requirements artefacts and test cases.,3
,3.1.1,"The supported link types from requirement to test case shall include: Validates, Partially Validates, and Excludes.",Functional Requirement,"The supported link types from requirement to test case shall include: Validates, Partially Validates, and Excludes.",3.1
,3.1.1.1,The system shall mark a link as Suspect when the source requirement is modified after the link is created.,Functional Requirement,The system shall mark a link as Suspect when the source requirement is modified after the link is created.,3.1.1
,3.1.1.1.1,The Suspect flag shall persist until a user explicitly clears it after reviewing the link validity.,Functional Requirement,The Suspect flag shall persist until a user explicitly clears it after reviewing the link validity.,3.1.1.1
,3.1.1.1.1.1,Clearing a Suspect flag shall require the user to enter a justification comment of at least 20 characters.,Functional Requirement,Clearing a Suspect flag shall require the user to enter a justification comment of at least 20 characters.,3.1.1.1.1
,3.1.1.1.1.2,The justification comment for Suspect flag clearance shall be visible in the link audit trail without requiring special permissions.,Functional Requirement,The justification comment for Suspect flag clearance shall be visible in the link audit trail without requiring special permissions.,3.1.1.1.1
,3.1.1.1.2,The system shall record the user and timestamp when a Suspect flag is cleared in the link audit trail.,Functional Requirement,The system shall record the user and timestamp when a Suspect flag is cleared in the link audit trail.,3.1.1.1
,3.1.1.2,The system shall notify the link owner by email when a Suspect flag is set on a link they own.,Functional Requirement,The system shall notify the link owner by email when a Suspect flag is set on a link they own.,3.1.1
,3.1.1.2.1,The Suspect notification email shall include a direct link to the affected traceability link in the system.,Functional Requirement,The Suspect notification email shall include a direct link to the affected traceability link in the system.,3.1.1.2
,3.1.2,The system shall display the verification status of all linked test cases in the requirement detail view.,Functional Requirement,The system shall display the verification status of all linked test cases in the requirement detail view.,3.1
,3.1.2.1,"The verification status summary shall show counts of Passed, Failed, Not Run, and Blocked test cases linked to the requirement.",Functional Requirement,"The verification status summary shall show counts of Passed, Failed, Not Run, and Blocked test cases linked to the requirement.",3.1.2
,3.2,The system shall support the creation of typed traceability links between requirements artefacts and design artefacts.,Functional Requirement,The system shall support the creation of typed traceability links between requirements artefacts and design artefacts.,3
,3.2.1,"The supported link types from requirement to design artefact shall include: Satisfies, Derived From, and Conflicts With.",Functional Requirement,"The supported link types from requirement to design artefact shall include: Satisfies, Derived From, and Conflicts With.",3.2
,3.3,The system shall generate a Requirements Traceability Matrix (RTM) report covering all requirements in a selected module.,Functional Requirement,The system shall generate a Requirements Traceability Matrix (RTM) report covering all requirements in a selected module.,3
,3.3.1,"The RTM report shall include columns for: Requirement ID, Title, Priority, Verification Method, Linked Test Cases, and Test Status.",Functional Requirement,"The RTM report shall include columns for: Requirement ID, Title, Priority, Verification Method, Linked Test Cases, and Test Status.",3.3
,3.3.1.1,The RTM shall include a summary row at the end showing total requirement count and percentage with full test coverage.,Functional Requirement,The RTM shall include a summary row at the end showing total requirement count and percentage with full test coverage.,3.3.1
,3.3.2,The RTM report shall be exportable in CSV and PDF formats.,Functional Requirement,The RTM report shall be exportable in CSV and PDF formats.,3.3
,4,The system shall provide a baseline management module supporting the creation and retrieval of immutable requirement snapshots.,Functional Requirement,The system shall provide a baseline management module supporting the creation and retrieval of immutable requirement snapshots.,
,4.1,The system shall allow project administrators to create a named baseline of all requirements in a module at any point in time.,Functional Requirement,The system shall allow project administrators to create a named baseline of all requirements in a module at any point in time.,4
,4.1.1,The baseline creation process shall capture the complete attribute set of every requirement in the module at the moment of creation.,Functional Requirement,The baseline creation process shall capture the complete attribute set of every requirement in the module at the moment of creation.,4.1
,4.1.1.1,"The baseline creation shall be atomic — either all requirements are captured or none are, with no partial baseline state.",Functional Requirement,"The baseline creation shall be atomic — either all requirements are captured or none are, with no partial baseline state.",4.1.1
,4.1.1.1.1,"If baseline creation fails due to a system error, the system shall log the failure, notify the administrator, and ensure no partial baseline record is stored.",Functional Requirement,"If baseline creation fails due to a system error, the system shall log the failure, notify the administrator, and ensure no partial baseline record is stored.",4.1.1.1
,4.1.1.1.1.1,The atomicity guarantee shall be implemented using a database transaction that is rolled back in its entirety on any failure.,Functional Requirement,The atomicity guarantee shall be implemented using a database transaction that is rolled back in its entirety on any failure.,4.1.1.1.1
,4.1.2,"Each baseline shall be assigned a unique name, a version number, and a creation timestamp.",Functional Requirement,"Each baseline shall be assigned a unique name, a version number, and a creation timestamp.",4.1
,4.1.2.1,The version number shall follow semantic versioning format MAJOR.MINOR where MAJOR increments on release baselines and MINOR on interim baselines.,Functional Requirement,The version number shall follow semantic versioning format MAJOR.MINOR where MAJOR increments on release baselines and MINOR on interim baselines.,4.1.2
,4.1.2.1.1,The system shall prevent the creation of a new baseline with the same name as an existing baseline in the same project.,Functional Requirement,The system shall prevent the creation of a new baseline with the same name as an existing baseline in the same project.,4.1.2.1
,4.2,The system shall prevent modification of any requirement artefact that is part of a locked baseline.,Functional Requirement,The system shall prevent modification of any requirement artefact that is part of a locked baseline.,4
,4.2.1,An attempt to modify a requirement in a locked baseline shall return an error message identifying the baseline name and the locked requirement ID.,Functional Requirement,An attempt to modify a requirement in a locked baseline shall return an error message identifying the baseline name and the locked requirement ID.,4.2
,4.3,The system shall provide a baseline comparison view showing differences between two selected baselines of the same module.,Functional Requirement,The system shall provide a baseline comparison view showing differences between two selected baselines of the same module.,4
,4.3.1,"The baseline comparison shall highlight requirements that were added, removed, or modified between the two selected baselines.",Functional Requirement,"The baseline comparison shall highlight requirements that were added, removed, or modified between the two selected baselines.",4.3
,4.3.1.1,"For modified requirements, the comparison shall show the changed attribute values with old and new values presented side-by-side.",Functional Requirement,"For modified requirements, the comparison shall show the changed attribute values with old and new values presented side-by-side.",4.3.1
,4.3.2,"The comparison view shall allow the user to filter to show only added, only removed, or only modified requirements.",Functional Requirement,"The comparison view shall allow the user to filter to show only added, only removed, or only modified requirements.",4.3
,5,The system shall provide an import module supporting the ingestion of requirements from external document formats.,Functional Requirement,The system shall provide an import module supporting the ingestion of requirements from external document formats.,
,5.1,The system shall support the import of requirements from Microsoft Word documents in .docx format.,Functional Requirement,The system shall support the import of requirements from Microsoft Word documents in .docx format.,5
,5.1.1,The Word import shall recognise Heading 1 through Heading 6 styles as hierarchy level indicators.,Functional Requirement,The Word import shall recognise Heading 1 through Heading 6 styles as hierarchy level indicators.,5.1
,5.1.1.1,"A Heading 1 paragraph shall create a Level 1 requirement artefact; a Heading 2 shall create a Level 2 child of the nearest preceding Level 1, and so on.",Functional Requirement,"A Heading 1 paragraph shall create a Level 1 requirement artefact; a Heading 2 shall create a Level 2 child of the nearest preceding Level 1, and so on.",5.1.1
,5.1.1.1.1,"If a Heading level is skipped (e.g., Heading 1 followed directly by Heading 3), the system shall insert a placeholder Level 2 artefact and flag it for review.",Functional Requirement,"If a Heading level is skipped (e.g., Heading 1 followed directly by Heading 3), the system shall insert a placeholder Level 2 artefact and flag it for review.",5.1.1.1
,5.1.1.1.1.1,Placeholder artefacts created for skipped heading levels shall be assigned the name '[AUTO-PLACEHOLDER]' and the status 'Requires Review'.,Functional Requirement,Placeholder artefacts created for skipped heading levels shall be assigned the name '[AUTO-PLACEHOLDER]' and the status 'Requires Review'.,5.1.1.1.1
,5.1.1.1.1.2,The system shall generate a post-import report listing all placeholder artefacts created during the import process with their location in the module hierarchy.,Functional Requirement,The system shall generate a post-import report listing all placeholder artefacts created during the import process with their location in the module hierarchy.,5.1.1.1.1
,5.1.2,The Word import shall create one requirement artefact per paragraph that is not formatted as a Heading style.,Functional Requirement,The Word import shall create one requirement artefact per paragraph that is not formatted as a Heading style.,5.1
,5.2,The system shall support the import of requirements from CSV files conforming to the project's defined import template.,Functional Requirement,The system shall support the import of requirements from CSV files conforming to the project's defined import template.,5
,5.2.1,"The CSV import template shall require the columns: Identifier, Artifact Type, Name, Primary Text, and parentBinding.",Functional Requirement,"The CSV import template shall require the columns: Identifier, Artifact Type, Name, Primary Text, and parentBinding.",5.2
,5.2.1.1,The parentBinding column shall reference the Identifier value of the parent requirement within the same import file.,Functional Requirement,The parentBinding column shall reference the Identifier value of the parent requirement within the same import file.,5.2.1
,5.2.1.1.1,A parentBinding value that references an Identifier not present in the same import file shall be treated as a validation error.,Functional Requirement,A parentBinding value that references an Identifier not present in the same import file shall be treated as a validation error.,5.2.1.1
,5.2.2,The system shall validate the CSV file against the template before commencing import and shall report all validation errors before processing any row.,Functional Requirement,The system shall validate the CSV file against the template before commencing import and shall report all validation errors before processing any row.,5.2
,5.2.2.1,"Validation errors shall be reported in a downloadable error report CSV with columns: Row Number, Column Name, Error Description.",Functional Requirement,"Validation errors shall be reported in a downloadable error report CSV with columns: Row Number, Column Name, Error Description.",5.2.2
,5.3,The system shall support the import of requirements from ReqIF packages in .reqif and .reqifz formats.,Functional Requirement,The system shall support the import of requirements from ReqIF packages in .reqif and .reqifz formats.,5
,5.3.1,The ReqIF import shall preserve all custom attributes defined in the ReqIF specification file.,Functional Requirement,The ReqIF import shall preserve all custom attributes defined in the ReqIF specification file.,5.3
